Reactant_1_Name;Reactant_2_Name;Ligand_Short_Hand;Reagent_1_Short_Hand;Solvent_1_Short_Hand;Product_Yield_PCT_Area_UV;Product_Yield_Mass_Ion_Count
"C1=CC2=C(C=CC(=C2)Cl)N=C1
";2a. Boronic Acid;P(tBu)3;NaOH;MeCN;4.76;6262.06
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaOH;MeCN;4.12;13245.57
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaOH;MeCN;2.58;3009.17
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaOH;MeCN;4.44;30860.7
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaOH;MeCN;1.95;2486.31
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaOH;MeCN;3.25;9592.45
6-chloroquinoline;2a. Boronic Acid;SPhos;NaOH;MeCN;86.26;108343.14
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaOH;MeCN;7.55;9373.4
6-chloroquinoline;2a. Boronic Acid;XPhos;NaOH;MeCN;93.67;27239.2
6-chloroquinoline;2a. Boronic Acid;dppf;NaOH;MeCN;14.32;7746.46
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaOH;MeCN;2.11;897.82
6-chloroquinoline;2a. Boronic Acid;None;NaOH;MeCN;17.09;81111.32
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaHCO3;MeCN;3.16;4185.92
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaHCO3;MeCN;4.75;12755.63
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaHCO3;MeCN;2.46;2850.54
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaHCO3;MeCN;5.27;35567.25
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaHCO3;MeCN;1.96;2606.64
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaHCO3;MeCN;3.35;11110.37
6-chloroquinoline;2a. Boronic Acid;SPhos;NaHCO3;MeCN;69.22;80639.83
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaHCO3;MeCN;5.1;6992.26
6-chloroquinoline;2a. Boronic Acid;XPhos;NaHCO3;MeCN;83.19;93978.65
6-chloroquinoline;2a. Boronic Acid;dppf;NaHCO3;MeCN;13.68;7748.88
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaHCO3;MeCN;1.82;511.73
6-chloroquinoline;2a. Boronic Acid;None;NaHCO3;MeCN;10.99;49531.99
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;CsF;MeCN;1.79;3366.81
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;CsF;MeCN;4.36;14015.84
6-chloroquinoline;2a. Boronic Acid;AmPhos;CsF;MeCN;2.71;4001.6
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;CsF;MeCN;6.49;37162.74
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;CsF;MeCN;2.1;2770.51
6-chloroquinoline;2a. Boronic Acid;CataCXium A;CsF;MeCN;3.32;9690.61
6-chloroquinoline;2a. Boronic Acid;SPhos;CsF;MeCN;68.44;77744.35
6-chloroquinoline;2a. Boronic Acid;dtbpf;CsF;MeCN;5.84;6066
6-chloroquinoline;2a. Boronic Acid;XPhos;CsF;MeCN;73.02;83146.08
6-chloroquinoline;2a. Boronic Acid;dppf;CsF;MeCN;13.2;4335.3
6-chloroquinoline;2a. Boronic Acid;Xantphos;CsF;MeCN;2.1;517.93
6-chloroquinoline;2a. Boronic Acid;None;CsF;MeCN;10.22;40428.33
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;K3PO4;MeCN;3;4636.03
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;K3PO4;MeCN;4.73;11853.53
6-chloroquinoline;2a. Boronic Acid;AmPhos;K3PO4;MeCN;2.58;3677.14
